SeriesCode,Development relevance,Statistical concept and methodology,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Base Period,Aggregation method,Limitations and exceptions,Notes from original source,General comments
SL.UEM.PRIM.FE.ZS,,,"Unemployment with primary education, female (% of female unemployment)",,"Unemployment by level of educational attainment shows the unemployed by level of educational attainment, as a percentage of the unemployed. The levels of educational attainment accord with the International Standard Classification of Education 1997 of the United Nations Educational, Cultural, and Scientific Organization (UNESCO).","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Unemployment,Annual,,Weighted average,,,
SL.UEM.PRIM.MA.ZS,,,"Unemployment with primary education, male (% of male unemployment)",,"Unemployment by level of educational attainment shows the unemployed by level of educational attainment, as a percentage of the unemployed. The levels of educational attainment accord with the International Standard Classification of Education 1997 of the United Nations Educational, Cultural, and Scientific Organization (UNESCO).","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Unemployment,Annual,,Weighted average,,,
SL.UEM.SECO.FE.ZS,,,"Unemployment with secondary education, female (% of female unemployment)",,"Unemployment by level of educational attainment shows the unemployed by level of educational attainment, as a percentage of the unemployed. The levels of educational attainment accord with the International Standard Classification of Education 1997 of the United Nations Educational, Cultural, and Scientific Organization (UNESCO).","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Unemployment,Annual,,Weighted average,,,
SL.UEM.SECO.MA.ZS,,,"Unemployment with secondary education, male (% of male unemployment)",,"Unemployment by level of educational attainment shows the unemployed by level of educational attainment, as a percentage of the unemployed. The levels of educational attainment accord with the International Standard Classification of Education 1997 of the United Nations Educational, Cultural, and Scientific Organization (UNESCO).","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Unemployment,Annual,,Weighted average,,,
SL.UEM.TERT.FE.ZS,,,"Unemployment with tertiary education, female (% of female unemployment)",,"Unemployment by level of educational attainment shows the unemployed by level of educational attainment, as a percentage of the unemployed. The levels of educational attainment accord with the International Standard Classification of Education 1997 of the United Nations Educational, Cultural, and Scientific Organization (UNESCO).","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Unemployment,Annual,,Weighted average,,,
SL.UEM.TERT.MA.ZS,,,"Unemployment with tertiary education, male (% of male unemployment)",,"Unemployment by level of educational attainment shows the unemployed by level of educational attainment, as a percentage of the unemployed. The levels of educational attainment accord with the International Standard Classification of Education 1997 of the United Nations Educational, Cultural, and Scientific Organization (UNESCO).","International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Unemployment,Annual,,Weighted average,,,
SL.UEM.TOTL.FE.ZS,"Unemployment and total employment are the broadest indicators of economic activity as reflected by the labor market. The International Labour Organization(ILO) defines the unemployed as members of the economically active population who are without work but available for and seeking work, including people who have lost their jobs or who have voluntarily left work. Some unemployment is unavoidable. At any time some workers are temporarily unemployed - between jobs as employers look for the right workers and workers search for better jobs. Such unemployment, often called frictional unemployment, results from the normal operation of labor markets.

Changes in unemployment over time may reflect changes in the demand for and supply of labor; they may also reflect changes in reporting practices. Paradoxically, low unemployment rates can disguise substantial poverty in a country, while high unemployment rates can occur in countries with a high level of economic development and low rates of poverty. In countries without unemployment or welfare benefits people eke out a living in vulnerable employment. In countries with well-developed safety nets workers can afford to wait for suitable or desirable jobs. But high and sustained unemployment indicates serious inefficiencies in resource allocation.

In many developing countries women work on farms or in other family enterprises without pay and others work in or near their homes, mixing work and family activities during the day. Labor force statistics by gender is important to monitor gender disparities in unemployment patterns. In many developed economies, women have been increasingly acquiring higher education that has led to better-compensated, longer-term careers rather than lower-skilled, shorter-term jobs. However, access to good- paying occupations for women remains unequal in many occupations and countries around the world.","The standard definition of unemployed persons is those individuals without work, seeking work in a recent past period, and currently available for work. Persons who did not look for work but have an arrangements for a future job are counted as unemployed. It is the labour force or the economically active portion of the population that serves as the base for this indicator, not the total population.","Unemployment, female (% of female labor force)",,Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Unemployment,Annual,,Weighted average,"Data on unemployment are drawn from labor force sample surveys and general household sample surveys, censuses, and official estimates, which are generally based on information from different sources and can be combined in many ways. Administrative records, such as social insurance statistics and employment office statistics, are not included in the data because of their limitations in coverage.

Labor force surveys generally yield the most comprehensive data because they include groups not covered in other unemployment statistics, particularly people seeking work for the first time. These surveys generally use a definition of unemployment that follows the international recommendations more closely than that used by other sources and therefore generate statistics that are more comparable internationally. But the age group, geographic coverage, and collection methods could differ by country or change over time within a country. For detailed information, consult the original source.

The ILO definition of unemployment notwithstanding, reference periods, the criteria for people considered to be seeking work, and the treatment of people temporarily laid off or seeking work for the first time vary across countries. In many developing countries it is especially difficult to measure employment and unemployment in agriculture. The timing of a survey, for example, can maximize the effects of seasonal unemployment in agriculture. And informal sector employment is difficult to quantify where informal activities are not tracked.

There may be persons not currently in the labour market who want to work but do not actively ""seek"" work because they view job opportunities as limited, or because they have restricted labour mobility, or face discrimination, or structural, social or cultural barriers. The exclusion of people who want to work but are not seeking work (often called the ""hidden unemployed"" or ""discouraged workers"") is a criterion that will affect the count of both women and men although women may have a higher probability of being excluded from the count of unemployed because they suffer more from social barriers overall that impede them from meeting this criterion. There are situations where the conventional means of seeking work are of limited relevance - for example, in developing economies where the informal economy is rampant and where the labour force is largely self-employed. In such cases, the standard definition of unemployment would greatly undercount the untapped human resources of a country and would give a picture of the labour market that was more positive than reality would warrant.",,"Relevance to gender indicator: Women tend to be excluded from the unemployment count for various reasons. Women suffer more from discrimination and from structural, social, and cultural barriers that impede them from seeking work. Also, women are often responsible for the care of children and the elderly and for household affairs. They may not be available for work during the short reference period, as they need to make arrangements before starting work. Furthermore, women are considered to be employed when they are working part-time or in temporary jobs, despite the instability of these jobs or their active search for more secure employment."
SL.UEM.TOTL.MA.ZS,"Unemployment and total employment are the broadest indicators of economic activity as reflected by the labor market. The International Labour Organization(ILO) defines the unemployed as members of the economically active population who are without work but available for and seeking work, including people who have lost their jobs or who have voluntarily left work. Some unemployment is unavoidable. At any time some workers are temporarily unemployed - between jobs as employers look for the right workers and workers search for better jobs. Such unemployment, often called frictional unemployment, results from the normal operation of labor markets.

Changes in unemployment over time may reflect changes in the demand for and supply of labor; they may also reflect changes in reporting practices. Paradoxically, low unemployment rates can disguise substantial poverty in a country, while high unemployment rates can occur in countries with a high level of economic development and low rates of poverty. In countries without unemployment or welfare benefits people eke out a living in vulnerable employment. In countries with well-developed safety nets workers can afford to wait for suitable or desirable jobs. But high and sustained unemployment indicates serious inefficiencies in resource allocation.

In many developing countries women work on farms or in other family enterprises without pay and others work in or near their homes, mixing work and family activities during the day. Labor force statistics by gender is important to monitor gender disparities in unemployment patterns. In many developed economies, women have been increasingly acquiring higher education that has led to better-compensated, longer-term careers rather than lower-skilled, shorter-term jobs. However, access to good- paying occupations for women remains unequal in many occupations and countries around the world.","The standard definition of unemployed persons is those individuals without work, seeking work in a recent past period, and currently available for work. Persons who did not look for work but have an arrangements for a future job are counted as unemployed. It is the labour force or the economically active portion of the population that serves as the base for this indicator, not the total population.","Unemployment, male (% of male labor force)",,Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Unemployment,Annual,,Weighted average,"Data on unemployment are drawn from labor force sample surveys and general household sample surveys, censuses, and official estimates, which are generally based on information from different sources and can be combined in many ways. Administrative records, such as social insurance statistics and employment office statistics, are not included in the data because of their limitations in coverage.

Labor force surveys generally yield the most comprehensive data because they include groups not covered in other unemployment statistics, particularly people seeking work for the first time. These surveys generally use a definition of unemployment that follows the international recommendations more closely than that used by other sources and therefore generate statistics that are more comparable internationally. But the age group, geographic coverage, and collection methods could differ by country or change over time within a country. For detailed information, consult the original source.

The ILO definition of unemployment notwithstanding, reference periods, the criteria for people considered to be seeking work, and the treatment of people temporarily laid off or seeking work for the first time vary across countries. In many developing countries it is especially difficult to measure employment and unemployment in agriculture. The timing of a survey, for example, can maximize the effects of seasonal unemployment in agriculture. And informal sector employment is difficult to quantify where informal activities are not tracked.

There may be persons not currently in the labour market who want to work but do not actively ""seek"" work because they view job opportunities as limited, or because they have restricted labour mobility, or face discrimination, or structural, social or cultural barriers. The exclusion of people who want to work but are not seeking work (often called the ""hidden unemployed"" or ""discouraged workers"") is a criterion that will affect the count of both women and men although women may have a higher probability of being excluded from the count of unemployed because they suffer more from social barriers overall that impede them from meeting this criterion. There are situations where the conventional means of seeking work are of limited relevance - for example, in developing economies where the informal economy is rampant and where the labour force is largely self-employed. In such cases, the standard definition of unemployment would greatly undercount the untapped human resources of a country and would give a picture of the labour market that was more positive than reality would warrant.",,"Relevance to gender indicator: Women tend to be excluded from the unemployment count for various reasons. Women suffer more from discrimination and from structural, social, and cultural barriers that impede them from seeking work. Also, women are often responsible for the care of children and the elderly and for household affairs. They may not be available for work during the short reference period, as they need to make arrangements before starting work. Furthermore, women are considered to be employed when they are working part-time or in temporary jobs, despite the instability of these jobs or their active search for more secure employment."
SL.UEM.TOTL.ZS,"Unemployment and total employment are the broadest indicators of economic activity as reflected by the labor market. The International Labour Organization(ILO) defines the unemployed as members of the economically active population who are without work but available for and seeking work, including people who have lost their jobs or who have voluntarily left work. Some unemployment is unavoidable. At any time some workers are temporarily unemployed - between jobs as employers look for the right workers and workers search for better jobs. Such unemployment, often called frictional unemployment, results from the normal operation of labor markets.

Changes in unemployment over time may reflect changes in the demand for and supply of labor; they may also reflect changes in reporting practices. Paradoxically, low unemployment rates can disguise substantial poverty in a country, while high unemployment rates can occur in countries with a high level of economic development and low rates of poverty. In countries without unemployment or welfare benefits people eke out a living in vulnerable employment. In countries with well-developed safety nets workers can afford to wait for suitable or desirable jobs. But high and sustained unemployment indicates serious inefficiencies in resource allocation.

In many developing countries women work on farms or in other family enterprises without pay and others work in or near their homes, mixing work and family activities during the day. Labor force statistics by gender is important to monitor gender disparities in unemployment patterns. In many developed economies, women have been increasingly acquiring higher education that has led to better-compensated, longer-term careers rather than lower-skilled, shorter-term jobs. However, access to good- paying occupations for women remains unequal in many occupations and countries around the world.","The standard definition of unemployed persons is those individuals without work, seeking work in a recent past period, and currently available for work. Persons who did not look for work but have an arrangements for a future job are counted as unemployed. It is the labour force or the economically active portion of the population that serves as the base for this indicator, not the total population.","Unemployment, total (% of total labor force)",,Unemployment refers to the share of the labor force that is without work but available for and seeking employment. Definitions of labor force and unemployment differ by country.,"International Labour Organization, Key Indicators of the Labour Market database.",Labor & Social Protection: Unemployment,Annual,,Weighted average,"Data on unemployment are drawn from labor force sample surveys and general household sample surveys, censuses, and official estimates, which are generally based on information from different sources and can be combined in many ways. Administrative records, such as social insurance statistics and employment office statistics, are not included in the data because of their limitations in coverage.

Labor force surveys generally yield the most comprehensive data because they include groups not covered in other unemployment statistics, particularly people seeking work for the first time. These surveys generally use a definition of unemployment that follows the international recommendations more closely than that used by other sources and therefore generate statistics that are more comparable internationally. But the age group, geographic coverage, and collection methods could differ by country or change over time within a country. For detailed information, consult the original source.

The ILO definition of unemployment notwithstanding, reference periods, the criteria for people considered to be seeking work, and the treatment of people temporarily laid off or seeking work for the first time vary across countries. In many developing countries it is especially difficult to measure employment and unemployment in agriculture. The timing of a survey, for example, can maximize the effects of seasonal unemployment in agriculture. And informal sector employment is difficult to quantify where informal activities are not tracked.

There may be persons not currently in the labour market who want to work but do not actively ""seek"" work because they view job opportunities as limited, or because they have restricted labour mobility, or face discrimination, or structural, social or cultural barriers. The exclusion of people who want to work but are not seeking work (often called the ""hidden unemployed"" or ""discouraged workers"") is a criterion that will affect the count of both women and men although women may have a higher probability of being excluded from the count of unemployed because they suffer more from social barriers overall that impede them from meeting this criterion. There are situations where the conventional means of seeking work are of limited relevance - for example, in developing economies where the informal economy is rampant and where the labour force is largely self-employed. In such cases, the standard definition of unemployment would greatly undercount the untapped human resources of a country and would give a picture of the labour market that was more positive than reality would warrant.",,"Relevance to gender indicator: Women tend to be excluded from the unemployment count for various reasons. Women suffer more from discrimination and from structural, social, and cultural barriers that impede them from seeking work. Also, women are often responsible for the care of children and the elderly and for household affairs. They may not be available for work during the short reference period, as they need to make arrangements before starting work. Furthermore, women are considered to be employed when they are working part-time or in temporary jobs, despite the instability of these jobs or their active search for more secure employment."
SP.ADO.TFRT,,"Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.

Adolescent fertility rates are based on data on registered live births from vital registration systems or, in the absence of such systems, from censuses or sample surveys. The estimated rates are generally considered reliable measures of fertility in the recent past. Where no empirical information on age-specific fertility rates is available, a model is used to estimate the share of births to adolescents. For countries without vital registration systems fertility rates are generally based on extrapolations from trends observed in censuses or surveys from earlier years.","Adolescent fertility rate (births per 1,000 women ages 15-19)",,"Adolescent fertility rate is the number of births per 1,000 women ages 15-19.","United Nations Population Division, World Population Prospects.",Health: Reproductive health,Annual,,Weighted average,,,
SP.DYN.CBRT.IN,,"Vital rates are based on data from birth and death registration systems, censuses, and sample surveys by national statistical offices and other organizations, or on demographic analysis. Data for the most recent year for some high-income countries are provisional estimates based on vital registers. The estimates for many countries are projections based on extrapolations of levels and trends from earlier years or interpolations of population estimates and projections from the United Nations Population Division.","Birth rate, crude (per 1,000 people)","Crude birth rate indicates the number of live births per 1,000 midyear population.","Crude birth rate indicates the number of live births occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.","(1) United Nations Population Division. World Population Prospects, (2) United Nations Statistical Division. Population and Vital Statistics Report (various years), (3) Census reports and other statistical publications from national statistical offices, (4) Eurostat: Demographic Statistics, (5) Secretariat of the Pacific Community: Statistics and Demography Programme, and (6) U.S. Census Bureau: International Database.",Health: Population: Dynamics,Annual,,Weighted average,"Vital registers are the preferred source for these data, but in many developing countries systems for registering births and deaths are absent or incomplete because of deficiencies in the coverage of events or geographic areas. Many developing countries carry out special household surveys that ask respondents about recent births and deaths. Estimates derived in this way are subject to sampling errors and recall errors.",,
SP.DYN.CDRT.IN,"The crude mortality rate is a good indicator of the general health status of a geographic area or population. The crude death rate is not appropriate for comparison of different populations or areas with large differences in age-distributions. Higher crude death rates can be found in some developed countries, despite high life expectancy, because typically these countries have a much higher proportion of older people, due to lower recent birth rates and lower age-specific mortality rates.","The crude death rate is calculated as the number of deaths in a given period divided by the population exposed to risk of death in that period. For human populations the period is usually one year and if the population is changing in size over the year the divisor is taken as the population at the mid-year. The rate is usually expressed in terms of 1,000 people: for example, a crude death rate of 9.5 (per 1000 people) in a population of 1 million would imply 9500 deaths per year in the entire population. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.

Vital rates are based on data from birth and death registration systems, censuses, and sample surveys by national statistical offices and other organizations, or on demographic analysis. Data for the most recent year for some high-income countries are provisional estimates based on vital registers. The estimates for many countries are projections based on extrapolations of levels and trends from earlier years or interpolations of population estimates and projections from the United Nations Population Division.","Death rate, crude (per 1,000 people)","Crude death rate indicates the number of deaths per 1,000 midyear population.","Crude death rate indicates the number of deaths occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.","(1) United Nations Population Division. World Population Prospects, (2) United Nations Statistical Division. Population and Vital Statistics Report (various years), (3) Census reports and other statistical publications from national statistical offices, (4) Eurostat: Demographic Statistics, (5) Secretariat of the Pacific Community: Statistics and Demography Programme, and (6) U.S. Census Bureau: International Database.",Health: Population: Dynamics,Annual,,Weighted average,"Vital registers are the preferred source for these data, but in many developing countries systems for registering births and deaths are absent or incomplete because of deficiencies in the coverage of events or geographic areas. Many developing countries carry out special household surveys that ask respondents about recent births and deaths. Estimates derived in this way are subject to sampling errors and recall errors.

Errors and undercounting occur even in high-income countries; in developing countries errors may be substantial because of limits in the transport, communications, and other resources required to conduct and analyze a full census. Demographic data from countries that have conducted a recent census and post-enumeration survey are more reliable than estimates extrapolated over many years. However some European countries' registration systems offer complete information on population in the absence of a census.",,
SP.DYN.CONU.ZS,"Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.","Contraceptive prevalence reflects all methods - ineffective traditional methods as well as highly effective modern methods. Contraceptive prevalence rates are obtained mainly from household surveys, including Demographic and Health Surveys, Multiple Indicator Cluster Surveys, and contraceptive prevalence surveys. Unmarried women are often excluded from such surveys, which may bias the estimates.",Contraceptive prevalence (% of women ages 15-49),,"Contraceptive prevalence rate is the percentage of women who are practicing, or whose sexual partners are practicing, any form of contraception. It is usually measured for married women ages 15-49 only.","Household surveys, including Demographic and Health Surveys by ICF International and Multiple Indicator Cluster Surveys by UNICEF.",Health: Reproductive health,Annual,,Weighted average,,,"Relevance to gender indicator: it is an indicator of women's empowerment and are related to several Millennium Development Goals such as maternal health, HIV/AIDS, and gender equality."
SP.DYN.IMRT.FE.IN,,,"Mortality rate, infant, female (per 1,000 live births)",,"Infant mortality rate is the number of infants dying before reaching one year of age, per 1,000 live births in a given year.","Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",Health: Mortality,Annual,,Weighted average,,,Relevance to gender indicator: Infant mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant.
SP.DYN.IMRT.IN,"Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A complete vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.

Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.

Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources. Neonatal, infant, and child mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under five and child mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do, as malnutrition and medical interventions are more important in this age group.","Mortality rate, infant (per 1,000 live births)",,"Infant mortality rate is the number of infants dying before reaching one year of age, per 1,000 live births in a given year.","Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",Health: Mortality,Annual,,Weighted average,"Complete vital registration systems are not common in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",,Relevance to gender indicator: Infant mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant.
SP.DYN.IMRT.MA.IN,,,"Mortality rate, infant, male (per 1,000 live births)",,"Infant mortality rate is the number of infants dying before reaching one year of age, per 1,000 live births in a given year.","Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",Health: Mortality,Annual,,Weighted average,,,Relevance to gender indicator: Infant mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant.
SP.DYN.LE00.FE.IN,"Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.","Life expectancy at birth used here is the average number of years a newborn is expected to live if mortality patterns at the time of its birth remain constant in the future. It reflects the overall mortality level of a population, and summarizes the mortality pattern that prevails across all age groups in a given year. It is calculated in a period life table which reflects a snapshot of a mortality pattern of a population at a given time. It therefore does not reflect actual mortality patterns that a person actually goes through during his/her life, which can be calculated in a cohort life table.

High mortality in young age groups significantly lowers the life expectancy at birth. But if a person survives his/her childhood of high mortality, he/she may live much longer. For example, in a population with a life expectancy at birth of 50, there may be few people dying at age 50. The life expectancy at birth may be low due to the high childhood mortality so that once a person survives his/her childhood, he/she may live much longer than 50 years.","Life expectancy at birth, female (years)",Life expectancy at birth indicates the average number of years a newborn infant would live.,Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.,"(1) United Nations Population Division. World Population Prospects, (2) United Nations Statistical Division. Population and Vital Statistics Report (various years), (3) Census reports and other statistical publications from national statistical offices, (4) Eurostat: Demographic Statistics, (5) Secretariat of the Pacific Community: Statistics and Demography Programme, and (6) U.S. Census Bureau: International Database.",Health: Mortality,Annual,,Weighted average,"Complete vital registration systems are not common in developing countries. Therefore estimates of life expectancy must be derived from sample surveys or by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Because life expectancy at birth is estimated using infant/child mortality data and model life tables for many developing countries, similar reliability issues arise for this indicator. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work. Annual data series from the United Nations are interpolated based on five-year estimates and thus may not reflect actual events.",,
SP.DYN.LE00.IN,"Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.","Life expectancy at birth used here is the average number of years a newborn is expected to live if mortality patterns at the time of its birth remain constant in the future. It reflects the overall mortality level of a population, and summarizes the mortality pattern that prevails across all age groups in a given year. It is calculated in a period life table which reflects a snapshot of a mortality pattern of a population at a given time. It therefore does not reflect actual mortality patterns that a person actually goes through during his/her life, which can be calculated in a cohort life table.

High mortality in young age groups significantly lowers the life expectancy at birth. But if a person survives his/her childhood of high mortality, he/she may live much longer. For example, in a population with a life expectancy at birth of 50, there may be few people dying at age 50. The life expectancy at birth may be low due to the high childhood mortality so that once a person survives his/her childhood, he/she may live much longer than 50 years.","Life expectancy at birth, total (years)",Life expectancy at birth indicates the average number of years a newborn infant would live.,Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.,"Derived from male and female life expectancy at birth from sources such as: (1) United Nations Population Division. World Population Prospects, (2) United Nations Statistical Division. Population and Vital Statistics Report (various years), (3) Census reports and other statistical publications from national statistical offices, (4) Eurostat: Demographic Statistics, (5) Secretariat of the Pacific Community: Statistics and Demography Programme, and (6) U.S. Census Bureau: International Database.",Health: Mortality,Annual,,Weighted average,"Complete vital registration systems are not common in developing countries. Therefore estimates of life expectancy must be derived from sample surveys or by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Because life expectancy at birth is estimated using infant/child mortality data and model life tables for many developing countries, similar reliability issues arise for this indicator. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work. Annual data series from the United Nations are interpolated based on five-year estimates and thus may not reflect actual events.",,
SP.DYN.LE00.MA.IN,"Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. And they are among the indicators most frequently used to compare socioeconomic development across countries.","Life expectancy at birth used here is the average number of years a newborn is expected to live if mortality patterns at the time of its birth remain constant in the future. It reflects the overall mortality level of a population, and summarizes the mortality pattern that prevails across all age groups in a given year. It is calculated in a period life table which reflects a snapshot of a mortality pattern of a population at a given time. It therefore does not reflect actual mortality patterns that a person actually goes through during his/her life, which can be calculated in a cohort life table.

High mortality in young age groups significantly lowers the life expectancy at birth. But if a person survives his/her childhood of high mortality, he/she may live much longer. For example, in a population with a life expectancy at birth of 50, there may be few people dying at age 50. The life expectancy at birth may be low due to the high childhood mortality so that once a person survives his/her childhood, he/she may live much longer than 50 years.","Life expectancy at birth, male (years)",Life expectancy at birth indicates the average number of years a newborn infant would live.,Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.,"(1) United Nations Population Division. World Population Prospects, (2) United Nations Statistical Division. Population and Vital Statistics Report (various years), (3) Census reports and other statistical publications from national statistical offices, (4) Eurostat: Demographic Statistics, (5) Secretariat of the Pacific Community: Statistics and Demography Programme, and (6) U.S. Census Bureau: International Database.",Health: Mortality,Annual,,Weighted average,"Complete vital registration systems are not common in developing countries. Therefore estimates of life expectancy must be derived from sample surveys or by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Because life expectancy at birth is estimated using infant/child mortality data and model life tables for many developing countries, similar reliability issues arise for this indicator. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work. Annual data series from the United Nations are interpolated based on five-year estimates and thus may not reflect actual events.",,
SP.DYN.LE60.FE.IN,,,"Life expectancy at age 60, female","Life expectancy at age 60 is the average number of years
that a person at age 60 wold live if prevailing patterns of mortality at the time of age 60 were to stay the same throughout its life.",Life expectancy at age 60 is the average number of years that a person at age 60 wold live if prevailing patterns of mortality at the time of age 60 were to stay the same throughout its life.,United Nations Population Division World Population Prospects,,,,,,,
